"year","hatchdate","cs","layday","recruit"
1998,134,8,21,0
1997,127,11,13,0
1998,139,8,29,0
1997,126,8,16,1
1999,139,9,28,0
2000,142,7,30,0
2001,149,5,39,0
1998,141,8,30,1
1997,128,10,14,1
1997,125,8,14,1
1997,127,7,16,0
1997,128,9,16,0
1990,134,7,26,0
1990,133,8,24,0
1990,134,10,23,0
1998,NA,9,32,0
1997,124,9,13,0
1997,128,8,17,0
1998,136,10,26,1
1997,128,4,20,2
1997,135,7,26,0
1999,131,6,19,1
1998,139,8,28,0
2001,138,9,25,0
1998,135,9,24,0
2000,133,9,20,4
1998,137,8,26,0
2000,134,8,22,1
1999,125,8,14,1
2002,122,8,11,1
2003,133,7,25,0
1999,128,8,14,0
2001,139,6,26,0
2000,135,9,23,0
1999,131,7,20,0
1999,138,6,33,0
1999,134,8,26,0
1999,134,10,20,0
1999,138,8,28,0
2002,127,8,17,0
1999,142,7,32,0
2000,140,8,30,3
1999,137,8,29,0
1991,144,7,36,0
2007,127,6,20,1
2008,134,6,22,0
2008,137,8,26,1
2005,125,6,18,0
2006,131,9,20,1
2005,126,7,15,2
2007,122,9,11,3
2005,126,6,15,0
2005,129,9,16,1
2005,125,7,15,0
2005,129,7,20,1
2007,127,9,18,0
2006,131,9,20,1
2005,129,9,17,0
2007,125,11,13,2
2006,141,10,23,2
2006,132,9,20,1
2007,123,10,11,4
2005,128,6,18,2
2008,129,9,12,1
2007,122,11,8,0
2005,131,6,21,0
2006,137,9,24,1
2006,134,8,22,0
2005,132,6,25,1
2007,123,9,12,0
2008,134,6,18,0
2005,132,9,16,2
2006,131,9,19,0
2006,137,9,25,0
2006,135,8,25,1
2006,139,9,27,0
2007,127,10,17,0
2007,125,8,16,3
2008,134,8,24,0
2010,127,12,14,0
2008,128,10,11,3
2009,122,11,9,0
2007,125,11,13,2
2010,157,9,50,0
2007,125,8,16,1
1997,124,11,11,0
1994,134,9,25,1
1992,136,10,22,2
1995,129,9,14,1
1993,130,10,18,0
1996,142,10,26,1
1992,139,8,24,0
1992,139,11,24,0
1992,133,10,18,2
1992,134,7,23,0
1992,135,11,20,0
1992,135,10,24,0
1992,174,7,64,0
1992,135,12,19,2
1996,142,9,27,0
1994,141,9,29,1
1993,135,11,22,2
1992,135,11,22,5
1995,138,10,29,2
1992,137,9,26,1
1994,136,9,27,0
1993,130,8,21,0
1995,132,8,20,0
1992,138,7,28,0
